Name,Rating,Price,Connectivity,Processor,RAM_Storage,Battery,Display,Camera,OS
Motorola Razr 50,4.7,"₹64,999","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Dimensity 7300X, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",4200 mAh Battery with 33W Fast Charging,"6.9 inches, 1080 x 2640 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 13 MP Dual Rear & 32 MP Front Camera
Oppo Find N5,4.5,"₹1,59,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8Elite, 7 Cores, 4.32 GHz Processor","12 GB RAM, 256 GB inbuilt",5600 mAh Battery with 80W Fast Charging,"8.12 inches, 2248 x 2480 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",50 MP + 50 MP + 8 MP Triple Rear & 8 MP + 8 MP Dual Front Camera
Xiaomi Redmi A3 Pro,4.1,"₹8,990","Dual Sim, 4G, VoLTE, NFC, Wi-Fi","Helio G81 Ultra, Octa Core, 2 GHz Processor","4 GB RAM, 128 GB inbuilt",5160 mAh Battery with 10W Fast Charging,"6.88 inches, 720 x 1640 px, 120 Hz Display with Punch Hole",50 MP Dual Rear Camera,"Memory Card Supported, upto 1 TB"
Vivo Y36c,4.45,"₹10,990","Dual Sim, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","6 GB RAM, 128 GB inbuilt",5000 mAh Battery with 15W Fast Charging,"6.56 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",50 MP + 8 MP Dual Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
Xiaomi 15S Pro,4,"₹66,990","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Xring O1, Deca Core, 3.9 GHz Processor","16 GB RAM, 512 GB inbuilt",6100 mAh Battery with 90W Fast Charging,"6.73 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 50 MP Triple Rear & 32 MP Front Camera,Memory Card Not Supported
Motorola ThinkPhone 25,4.55,"₹46,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Dimensity 7300, Octa Core, 2.5 GHz Processor","8 GB RAM, 256 GB inbuilt",4310 mAh Battery with 68W Fast Charging,"6.36 inches, 1220 x 2670 px, 120 Hz Display with Punch Hole",50 MP + 13 MP + 10 MP Triple Rear & 32 MP Front Camera,Android v14
Motorola Moto G Power 5G 2025,4.7,"₹27,990","Dual Sim, 5G, VoLTE, NFC, eSIM, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 30W Fast Charging,"6.8 inches, 1080 x 2388 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,"Memory Card Supported, upto 1 TB"
Xiaomi Civi 5 Pro,4.75,"₹39,999","Dual Sim, 5G, VoLTE, NFC, Wi-Fi, IR Blaster","Snapdragon 8s Gen4, Octa Core, 3.2 GHz Processor","12 GB RAM, 256 GB inbuilt",6000 mAh Battery with 67W Fast Charging,"6.55 inches, 1236 x 2750 px, 120 Hz Display with Punch Hole",50 MP + 50 MP + 12 MP Triple Rear & 50 MP Front Camera,Android v15
Vivo Y37,4.05,"₹13,990","Dual Sim, 5G, VoLTE, Wi-Fi","Dimensity 6300, Octa Core, 2.4 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 15W Fast Charging,"6.56 inches, 720 x 1612 px, 90 Hz Display with Water Drop Notch",13 MP + 2 MP Dual Rear & 5 MP Front Camera,"Memory Card Supported, upto 1 TB"
Itel P65,4.05,"₹13,990","Dual Sim, 4G, VoLTE, NFC, Wi-Fi","(12 nm), Octa Core, 1.8 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 18W Fast Charging,"6.7 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",50 MP Rear & 8 MP Front Camera,Memory Card Supported
Tecno Camon 20s Pro 5G,4.15,"₹15,299","Dual Sim, 5G, VoLTE, Wi-Fi","Dimensity 8020, Octa Core, 2.6 GHz Processor","8 GB RAM, 128 GB inbuilt",5000 mAh Battery with 33W Fast Charging,"6.67 inches, 1080 x 2400 px, 120 Hz Display",64 MP + 2 MP + 2 MP Triple Rear & 32 MP Front Camera,Memory Card Supported
Samsung Galaxy A16 4G,4.5,"₹17,990","Dual Sim, 4G, VoLTE, NFC, Wi-Fi","Helio G99, Octa Core, 2.2 GHz Processor","4 GB RAM, 128 GB inbuilt",5000 mAh Battery with 25W Fast Charging,"6.7 inches, 1080 x 2340 px, 90 Hz Display with Water Drop Notch",50 MP + 5 MP + 2 MP Triple Rear & 13 MP Front Camera,"Memory Card (Hybrid), upto 1 TB"
